,Restaurante,Valoración,Nota,Delivery_Fee,ETA,Tag,Precio,Dirección,Barrio,Tag_
0,Badsha India Restaurant,200,4.4,1.0,15–35,India,€,"Calle De Embajadores,  28045",Centro,India
1,TUTTO PASTA!,26,2.8,2.5,40–60,Pizza,€,"Calle De Núñez De Arce, 11, 28012",Centro,Pizza
2,Pizza Central,31,3.8,2.99,35–55,Pizza,€,"Plaza Del Emperador Carlos V, 10, 28012",Centro,Pizza
3,Scarlett Real Food,28,3.1,1.9,40–50,Dulce,€,"C/ Preciados 36,  28013",Centro,Dulce
4,La Tagliatella,15,3.9,0.9,25–35,Pizza,€€,"Calle De Toledo 27,  28012",Centro,Pizza
5,Fritz Foods,41,4.5,0.4,30–40,Pizza,€,"Calle De Luchana 17,  28010",Centro,Pizza
6,Pizzart Luchana,28,3.1,1.9,50–60,Pizza,€,"Paseo De La Virgen Del Puerto, 45, 28005",Centro,Pizza
7,Kahuna,25,4.6,1.4,45–55,Burritos,€,"Calle De La Aduana 25,  28013",Centro,Burritos
8,Wacamole,50,3.9,0.9,40–50,SouthAmerica,€,"Calle De Arriaza, 6, 28008",Centro,SouthAmerica
9,El Imperio de la Empanada,28,3.1,0.9,45–55,Empanada,€,"Calle De San Andrés, 26, 28004 ",Centro,Empanada
10,Roost Chicken,28,3.1,1.4,45–55,Pollo,€,"Calle Mayor, 38, 28013",Centro,Pollo
11,Popeyes,200,4.3,0.4,30–40,Pollo,€,"Paseo Del Doctor Vallejo Nágera, 25 ,  28005",Centro,Pollo
12,Papa John's,200,4.3,1.9,30–40,Pizza,€,"Calle De Cáceres 1, 28045",Centro,Pizza
13,Comida china yonghe,50,4.3,2.4,40–50,China,€,"Calle Preciados, 29 , 28013",Centro,China
14,Taco Bell,145,4.3,0.9,30–40,Hamburguesa,€,"P.º De La Florida, 2,  28008 ",Centro,Hamburguesa
15,KFC - Principe Pio,28,3.1,1.4,50–60,Pollo,€,"Travesía De La Parada 6, 28015",Centro,Pollo
16,EL LATÓN GRIS,66,3.7,0.9,45–55,Pollo,€,"Calle De Mira El Sol, 1, 28005 ",Centro,Pollo
17,TAMCOC,28,3.1,1.4,40–50,Pizza,€,"Calle De La Alianza 33,  28041",Centro,Pizza
18,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Calle Dos Hermanas, 22, 28012 ",Centro,China
19,La Alegría de la Huerta,28,3.1,0.9,25–35,Ensaladas,€,"Calle De Núñez De Arce 11, 28012",Centro,Ensaladas
20,Empanadas BAIRES,28,3.1,2.99,35–55,Empanada,€,"Atocha, 64, 28012",Centro,Empanada
21,Domino's,89,4.4,1.0,15–25,Pizza,€,"Calle De Los Donados 2,  28013",Centro,Pizza
22,Cor & Cor,28,3.1,0.4,30–40,Dulce,€,"Calle De Carranza 3,  28004",Centro,Dulce
23,Tiendas 7x24,70,4.6,1.9,50–60,Tienda,€,"Calle De Tudescos, 4, 28004",Centro,Tienda
24,Super naan,28,3.1,0.9,50–60,India,€,"Calle Azabache, 6,  28019",Centro,India
25,Super Dog,25,3.7,0.9,30–50,Hamburguesa,€,"Calle Gran Vía, 16,  28004",Centro,Hamburguesa
26,Steak Burger,168,4.2,1.4,45–55,Hamburguesa,€,"Calle De La Cruz, 20,  28012",Centro,Hamburguesa
27,Galipan,23,4.2,0.9,45–55,India,€,"Calle Del Dr Cortezo, 7,  28012",Centro,India
28,El Turkito,200,4.1,0.9,30–40,Asiática,€,"Paseo De Santa María De La Cabeza 14,  28012",Centro,Asiática
29,Arepish,186,4.4,1.9,35–45,SouthAmerica,€,"Hilarion Eslava 42,  28015",Centro,SouthAmerica
30,CONVEXO,69,4.6,2.4,40–50,Gourmet,€€€,"Calle Del Mesón De Paredes 52,  28012",Centro,Gourmet
