,Restaurante,Valoracion,Nota,Delivery_fee,ETA,Tag,Precio,Direccion,Barrio,Lat,Lon
0,Badsha India Restaurant,200,4.4,1.0,15–35,India,€,"Calle De Embajadores,   Madrid",Centro,40.40069,-3.69925
1,TUTTO PASTA!,26,2.8,2.5,40–60,Family Meals,€,"Calle De Núñez De Arce, 11,  Madrid",Centro,40.41538,-3.70124
2,Pizza Central,31,3.8,2.99,35–55,Pizza,€,"Plaza Del Emperador Carlos V, 10,  Madrid",Centro,40.40861,-3.69288
4,La Tagliatella,15,3.9,0.9,25–35,Pizza,€,"Calle De Toledo 27,   Madrid",Centro,40.41377,-3.70737
5,Fritz Foods,41,4.5,0.4,30–40,Pizza,€,"Calle De Luchana 17,   Madrid",Centro,40.43,-3.70099
6,Pizzart Luchana,28,3.1,1.9,50–60,Pizza,€,"Paseo De La Virgen Del Puerto, 45,  Madrid",Centro,40.40922,-3.72105
7,Kahuna,25,4.6,1.4,45–55,Burritos,€,"Calle De La Aduana 25,   Madrid",Centro,40.41841,-3.70073
8,Wacamole,50,3.9,0.9,40–50,De Latinoamérica,€,"Calle De Arriaza, 6,  Madrid",Centro,40.42104,-3.71579
9,El Imperio de la Empanada,28,3.1,0.9,45–55,Empanada,€,"Calle De San Andrés, 26,   Madrid",Centro,40.42735,-3.70352
10,Roost Chicken,28,3.1,1.4,45–55,Pollo,€,"Calle Mayor, 38,  Madrid",Centro,40.41611,-3.70831
11,Popeyes,200,4.3,0.4,30–40,Pollo,€,"Paseo Del Doctor Vallejo Nágera, 25 ,   Madrid",Centro,40.40163,-3.70811
12,Papa John's,200,4.3,1.9,30–40,Pizza,€,"Calle De Cáceres 1,  Madrid",Centro,40.39854,-3.69618
13,Comida china yonghe,50,4.3,2.4,40–50,China,€,"Calle Preciados, 29 ,  Madrid",Centro,40.41959,-3.70641
14,Taco Bell,145,4.3,0.9,30–40,Hamburguesas,€,"P.º De La Florida, 2,    Madrid",Centro,40.42149,-3.71954
15,KFC - Principe Pio,28,3.1,1.4,50–60,Pollo,€,"Travesía De La Parada 6,  Madrid",Centro,40.42286,-3.70803
16,EL LATÓN GRIS,66,3.7,0.9,45–55,Pollo,€€,"Calle De Mira El Sol, 1,   Madrid",Centro,40.40781,-3.70452
