,Restaurante,Valoración,Nota,Delivery_Fee,ETA,Tag,Precio,Dirección,Barrio,lat,lon
0,Badsha India Restaurant,200,4.4,1.0,15–35,India,€,"Calle De Embajadores,   Madrid",Centro,4.040.069,-369.925
1,TUTTO PASTA!,26,2.8,2.5,40–60,Family Meals,€,"Calle De Núñez De Arce, 11,  Madrid",Centro,4.041.538,-370.124
2,Pizza Central,31,3.8,2.99,35–55,Pizza,€,"Plaza Del Emperador Carlos V, 10,  Madrid",Centro,4.040.861,-369.288
4,La Tagliatella,15,3.9,0.9,25–35,Pizza,€,"Calle De Toledo 27,   Madrid",Centro,4.041.377,-370.737
5,Fritz Foods,41,4.5,0.4,30–40,Pizza,€,"Calle De Luchana 17,   Madrid",Centro,40.43,-370.099
6,Pizzart Luchana,28,3.1,1.9,50–60,Pizza,€,"Paseo De La Virgen Del Puerto, 45,  Madrid",Centro,4.040.922,-372.105
8,Kahuna,25,4.6,1.4,45–55,Burritos,€,"Calle De La Aduana 25,   Madrid",Centro,4.041.841,-370.073
9,Wacamole,50,3.9,0.9,40–50,De Latinoamérica,€,"Calle De Arriaza, 6,  Madrid",Centro,4.042.104,-371.579
10,El Imperio de la Empanada,28,3.1,0.9,45–55,Empanada,€,"Calle De San Andrés, 26,   Madrid",Centro,4.042.735,-370.352
12,Roost Chicken,28,3.1,1.4,45–55,Pollo,€,"Calle Mayor, 38,  Madrid",Centro,4.041.611,-370.831
13,Popeyes,200,4.3,0.4,30–40,Pollo,€,"Paseo Del Doctor Vallejo Nágera, 25 ,   Madrid",Centro,4.040.163,-370.811
14,Papa John's,200,4.3,1.9,30–40,Pizza,€,"Calle De Cáceres 1,  Madrid",Centro,4.039.854,-369.618
15,Comida china yonghe,50,4.3,2.4,40–50,China,€,"Calle Preciados, 29 ,  Madrid",Centro,4.041.959,-370.641
17,Taco Bell,145,4.3,0.9,30–40,Hamburguesas,€,"P.º De La Florida, 2,    Madrid",Centro,4.042.149,-371.954
18,KFC - Principe Pio,28,3.1,1.4,50–60,Pollo,€,"Travesía De La Parada 6,  Madrid",Centro,4.042.286,-370.803
19,EL LATÓN GRIS,66,3.7,0.9,45–55,Pollo,€€,"Calle De Mira El Sol, 1,   Madrid",Centro,4.040.781,-370.452
